epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
28,3744.95,1.98984,9.20775,0.61365,2.11166,0.03649,11.7607,0.56195,0.36,0.30908,0.12776,0.00128,0.04,0.00019,6e-05,1.91199,9.22328,0.39064,1.92247,0.05265,0,0.0009308,0.0009308,0.0009308
29,3899.47,2.1013,9.10228,0.59659,2.14684,0.03795,11.1227,0.59865,0.35811,0.3107,0.14508,0.0012,0.04,0.00012,3e-05,1.91309,8.8544,0.35582,1.7658,0.05122,0,0.0008912,0.0008912,0.0008912
30,4052.34,2.03331,8.92581,0.57414,2.00159,0.0376,11.5689,0.70963,0.32,0.3133,0.15556,0.10834,0.04,0.005,0.002,1.92265,8.26945,0.35876,1.71273,0.04808,0,0.0008516,0.0008516,0.0008516
31,4203.58,1.9889,9.03224,0.59705,1.98485,0.03613,11.6872,0.52345,0.39564,0.3186,0.15334,0,0,0,0,1.83797,8.33881,0.33352,1.75028,0.04695,0,0.000812,0.000812,0.000812
32,4354.26,1.9545,8.79838,0.62273,1.8963,0.03549,10.9067,0.66764,0.36,0.33416,0.13219,0,0,0,0,2.00671,8.65922,0.34149,1.71852,0.05246,0,0.0007724,0.0007724,0.0007724
33,4505.3,2.00848,9.16032,0.61957,2.05302,0.03542,11.2436,0.58238,0.32,0.32299,0.11608,0.19882,0.04,0.00875,0.00263,2.20709,7.98015,0.33216,1.66706,0.06035,0,0.0007328,0.0007328,0.0007328
34,4659.87,1.93283,8.89921,0.6075,1.99476,0.03531,10.8355,0.48988,0.36,0.3567,0.12618,0.23947,0.04,0.01769,0.00177,2.17299,7.89089,0.39981,1.70736,0.05803,0,0.0006932,0.0006932,0.0006932
35,4815.74,1.92322,8.79057,0.59525,2.06159,0.03374,11.1131,0.55097,0.32,0.32853,0.14803,0.16323,0.04,0.00875,0.00263,1.94086,8.03968,0.43028,1.78396,0.04876,0,0.0006536,0.0006536,0.0006536
36,4969.91,1.83438,8.58984,0.61032,1.87304,0.03281,10.1131,0.55353,0.28,0.28648,0.14309,0.21398,0.08,0.02167,0.00336,1.79725,8.31457,0.49698,1.83711,0.04472,0,0.000614,0.000614,0.000614
37,5122.08,1.94742,8.0741,0.59906,2.01521,0.03568,9.87347,0.38233,0.44,0.29481,0.12617,0.24801,0.08,0.025,0.00733,1.96529,7.76003,0.47298,1.71126,0.04994,0,0.0005744,0.0005744,0.0005744
38,5273.34,1.83747,8.52595,0.57676,1.94747,0.03153,10.3355,0.5864,0.39715,0.34335,0.13632,0.19005,0.04,0.01167,0.00385,2.0437,7.8222,0.45629,1.71369,0.05218,0,0.0005348,0.0005348,0.0005348
39,5430.15,1.80152,8.9429,0.59199,1.94311,0.03072,11.0836,0.66105,0.39056,0.39134,0.14605,0.15224,0.08,0.01894,0.00529,1.91211,7.73575,0.4476,1.73991,0.04788,0,0.0004952,0.0004952,0.0004952
40,5586.93,1.92329,8.30977,0.64161,1.90753,0.0359,9.87327,0.47483,0.4,0.36537,0.14446,0.10892,0.08,0.01375,0.00297,1.91976,7.67664,0.44556,1.68932,0.04773,0,0.0004556,0.0004556,0.0004556
41,5746.03,1.85408,8.59214,0.43651,2.03076,0.04196,11.2614,0.53052,0.36,0.33869,0.10814,0,0,0,0,1.98136,8.56413,0.36131,1.98002,0.04976,0,0.000416,0.000416,0.000416
42,5900.76,1.82855,8.70812,0.39703,1.94543,0.04199,11.7958,0.43056,0.32,0.29778,0.10506,0.0268,0.04,0.00125,0.00012,1.91549,8.52273,0.32284,1.83794,0.04845,0,0.0003764,0.0003764,0.0003764
43,6056.42,1.85222,8.49838,0.3685,1.93313,0.04124,10.8789,0.58399,0.28,0.30249,0.13776,0.14748,0.08,0.01542,0.00308,1.7544,7.97175,0.27967,1.77883,0.04206,0,0.0003368,0.0003368,0.0003368
44,6214.17,1.76961,8.22207,0.38982,1.74541,0.04054,10.983,0.52397,0.36,0.3389,0.13899,0.13473,0.12,0.0281,0.00517,1.75384,7.71704,0.28068,1.77526,0.04345,0,0.0002972,0.0002972,0.0002972
45,6366.04,1.91532,8.08206,0.34415,1.73752,0.04573,10.5417,0.54717,0.36,0.35793,0.15498,0.13491,0.08,0.01894,0.00398,1.93458,7.6241,0.26625,1.51252,0.0486,0,0.0002576,0.0002576,0.0002576
46,6518.72,1.74689,7.93413,0.32392,1.62835,0.03639,9.95675,0.51585,0.36,0.38218,0.16927,0.31868,0.08,0.03324,0.00789,1.92095,7.30678,0.25855,1.5375,0.04883,0,0.000218,0.000218,0.000218
47,6669.66,1.76449,7.98331,0.34218,1.59287,0.03823,10.7979,0.5743,0.36,0.387,0.16518,0.31814,0.08,0.03,0.00594,1.9097,7.3795,0.2447,1.58673,0.04707,0,0.0001784,0.0001784,0.0001784
48,6827.41,1.71847,7.78038,0.30136,1.58965,0.03893,10.1953,0.54257,0.36,0.36414,0.15424,0.26521,0.08,0.03083,0.00723,1.96223,7.33209,0.24112,1.55872,0.04887,0,0.0001388,0.0001388,0.0001388
49,6978.31,1.69663,7.9757,0.32474,1.54636,0.04015,10.5355,0.63735,0.35198,0.3659,0.14986,0.20371,0.08,0.0275,0.00745,1.8947,7.53201,0.24194,1.64934,0.04688,0,9.92e-05,9.92e-05,9.92e-05
50,7130.78,1.71748,8.15565,0.3655,1.88839,0.03759,11.4413,0.63225,0.36,0.36354,0.15098,0.19103,0.08,0.03139,0.00763,1.82494,7.53935,0.23754,1.64447,0.04513,0,5.96e-05,5.96e-05,5.96e-05
