epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4170.58,1.42233,0.61657,0.00588,0.89465,0.97222,0.98398,0.50534,1.782,0.55199,0.01183,0.0009176,0.0009176,0.0009176
43,4272.68,1.39419,0.64359,0.00581,0.9798,0.90741,0.98378,0.4935,1.7956,0.55415,0.0118,0.0008912,0.0008912,0.0008912
44,4366.79,1.34363,0.6029,0.00561,0.96319,0.97222,0.99194,0.47171,1.85563,0.5978,0.01212,0.0008648,0.0008648,0.0008648
45,4465.32,1.35764,0.63149,0.00563,0.93709,0.9654,0.9898,0.49462,1.78967,0.55346,0.01185,0.0008384,0.0008384,0.0008384
46,4568.38,1.38923,0.60354,0.00562,0.9611,0.93519,0.98741,0.45398,1.90001,0.59185,0.01238,0.000812,0.000812,0.000812
47,4664.7,1.37774,0.58951,0.0058,0.97611,0.88889,0.98392,0.48422,1.79858,0.58012,0.01173,0.0007856,0.0007856,0.0007856
48,4757.59,1.33068,0.59313,0.00549,0.96209,0.93992,0.97836,0.49002,1.77274,0.54641,0.01181,0.0007592,0.0007592,0.0007592
49,4860.89,1.37602,0.57928,0.00611,0.95105,0.89943,0.97477,0.47235,1.84261,0.55216,0.01207,0.0007328,0.0007328,0.0007328
50,4958.92,1.32447,0.54909,0.00531,0.9588,0.94444,0.97941,0.49209,1.82066,0.49097,0.01202,0.0007064,0.0007064,0.0007064
51,5059.6,1.28999,0.55797,0.00526,0.94671,0.98696,0.99234,0.49384,1.80123,0.51197,0.01188,0.00068,0.00068,0.00068
52,5175.89,1.33125,0.55309,0.00565,0.98089,0.95048,0.99268,0.49125,1.82297,0.50194,0.01196,0.0006536,0.0006536,0.0006536
53,5272.35,1.22747,0.51894,0.00509,0.9911,0.9537,0.99298,0.48541,1.85402,0.54164,0.01211,0.0006272,0.0006272,0.0006272
54,5365.23,1.25718,0.53843,0.00526,0.97259,0.96296,0.98628,0.495,1.78888,0.50253,0.01169,0.0006008,0.0006008,0.0006008
55,5450.94,1.25486,0.52887,0.00508,0.9907,0.986,0.99463,0.50139,1.79557,0.48528,0.01176,0.0005744,0.0005744,0.0005744
56,5540.67,1.24254,0.5317,0.00526,0.96399,0.99162,0.9937,0.49654,1.80275,0.49941,0.01185,0.000548,0.000548,0.000548
57,5624.85,1.23478,0.51013,0.00494,0.97212,0.96864,0.99316,0.49347,1.7754,0.51421,0.01165,0.0005216,0.0005216,0.0005216
58,5709.45,1.19868,0.515,0.0049,0.9468,0.99074,0.9916,0.50121,1.79135,0.49536,0.01169,0.0004952,0.0004952,0.0004952
59,5796.9,1.20649,0.50309,0.00492,0.95859,0.98148,0.99205,0.50202,1.75475,0.48874,0.01155,0.0004688,0.0004688,0.0004688
60,5881.48,1.22286,0.54015,0.00513,0.96361,0.98148,0.99254,0.49839,1.80649,0.52242,0.01168,0.0004424,0.0004424,0.0004424
61,5965.67,1.1761,0.47874,0.00484,0.94937,0.97222,0.99162,0.49699,1.78468,0.52062,0.01156,0.000416,0.000416,0.000416
62,6049.79,1.2555,0.52355,0.00505,0.99638,0.98148,0.99464,0.48528,1.81535,0.51552,0.01166,0.0003896,0.0003896,0.0003896
63,6135.56,1.18413,0.49712,0.00485,0.98468,0.98148,0.99454,0.48428,1.80229,0.49624,0.01167,0.0003632,0.0003632,0.0003632
64,6219.31,1.20064,0.52523,0.00482,0.98266,0.99074,0.99472,0.49198,1.79789,0.4858,0.0117,0.0003368,0.0003368,0.0003368
65,6302.04,1.15837,0.46979,0.0051,0.98158,0.98705,0.99463,0.49599,1.77903,0.47091,0.01158,0.0003104,0.0003104,0.0003104
66,6385.15,1.12968,0.41918,0.0055,0.98158,0.98683,0.99399,0.48802,1.80702,0.47388,0.0118,0.000284,0.000284,0.000284
67,6463.96,1.15677,0.42125,0.00545,0.95637,0.97222,0.98278,0.48623,1.82755,0.48839,0.01206,0.0002576,0.0002576,0.0002576
68,6544.38,1.09924,0.39317,0.00521,0.95527,0.98876,0.99328,0.48217,1.83183,0.51826,0.01206,0.0002312,0.0002312,0.0002312
69,6624.27,1.10566,0.39094,0.00529,0.98401,0.97222,0.99399,0.48018,1.81577,0.51341,0.01198,0.0002048,0.0002048,0.0002048
70,6705.11,1.05194,0.38217,0.00512,0.9625,0.97222,0.9833,0.48794,1.80984,0.4986,0.01196,0.0001784,0.0001784,0.0001784
71,6786.46,1.062,0.39967,0.00504,0.98088,0.97222,0.99308,0.4842,1.81899,0.4988,0.01199,0.000152,0.000152,0.000152
72,6867.36,1.03515,0.37336,0.00489,0.9812,0.96668,0.99244,0.47981,1.82637,0.50909,0.012,0.0001256,0.0001256,0.0001256
73,6947.29,1.0481,0.37944,0.00497,0.96124,0.98148,0.99258,0.48389,1.80883,0.51779,0.01186,9.92e-05,9.92e-05,9.92e-05
74,7033.1,1.03077,0.36598,0.0052,0.9796,0.96296,0.99196,0.48802,1.80497,0.5224,0.01182,7.28e-05,7.28e-05,7.28e-05
75,7118.23,1.03302,0.36449,0.00493,0.97189,0.96059,0.99137,0.49138,1.8057,0.53245,0.01181,4.64e-05,4.64e-05,4.64e-05
